alert_level,facility_id,facility_name,region,kpi_name,current_value,threshold,assigned_to,due_date,action_required
ALERT,NH-021,Albany Care Center 4,Capital Region,30-Day Readmission Rate,28.2%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-015,Glens Falls Care Center 3,Capital Region,30-Day Readmission Rate,25.0%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-009,Saratoga Springs Care Center 2,Capital Region,30-Day Readmission Rate,30.0%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-039,Saratoga Springs Care Center 7,Capital Region,30-Day Readmission Rate,24.0%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-003,Schenectady Care Center 1,Capital Region,30-Day Readmission Rate,25.0%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-027,Troy Care Center 5,Capital Region,30-Day Readmission Rate,27.5%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-014,Auburn Care Center 3,Central NY,30-Day Readmission Rate,22.5%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-008,Rome Care Center 2,Central NY,30-Day Readmission Rate,22.6%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-038,Rome Care Center 7,Central NY,30-Day Readmission Rate,32.1%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-047,Babylon Care Center 8,Long Island,30-Day Readmission Rate,24.0%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-041,Hempstead Care Center 7,Long Island,30-Day Readmission Rate,25.6%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-029,Oyster Bay Care Center 5,Long Island,30-Day Readmission Rate,45.8%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-016,Bronx Care Center 3,NYC Metro,30-Day Readmission Rate,30.0%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-046,Bronx Care Center 8,NYC Metro,30-Day Readmission Rate,28.3%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-022,Brooklyn Care Center 4,NYC Metro,30-Day Readmission Rate,36.7%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-040,Staten Island Care Center 7,NYC Metro,30-Day Readmission Rate,26.2%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-024,Malone Care Center 4,North Country,30-Day Readmission Rate,33.3%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-048,Ogdensburg Care Center 8,North Country,30-Day Readmission Rate,26.8%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-012,Plattsburgh Care Center 2,North Country,30-Day Readmission Rate,22.6%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-042,Plattsburgh Care Center 7,North Country,30-Day Readmission Rate,35.7%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-049,Batavia Care Center 9,Western NY,30-Day Readmission Rate,23.7%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-031,Buffalo Care Center 6,Western NY,30-Day Readmission Rate,35.3%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-013,Lockport Care Center 3,Western NY,30-Day Readmission Rate,26.3%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
ALERT,NH-043,Lockport Care Center 8,Western NY,30-Day Readmission Rate,29.8%,> 22%,Bureau Chief / Program Director,"May 06, 2026",Root cause analysis + corrective action plan
WARNING,NH-045,Glens Falls Care Center 8,Capital Region,30-Day Readmission Rate,21.9%,> 18%,Program Manager,"May 09, 2026",Investigate and document findings
WARNING,NH-020,Cortland Care Center 4,Central NY,30-Day Readmission Rate,19.1%,> 18%,Program Manager,"May 09, 2026",Investigate and document findings
WARNING,NH-002,Utica Care Center 1,Central NY,30-Day Readmission Rate,20.0%,> 18%,Program Manager,"May 09, 2026",Investigate and document findings
WARNING,NH-036,Watertown Care Center 6,North Country,30-Day Readmission Rate,20.0%,> 18%,Program Manager,"May 09, 2026",Investigate and document findings
