facility_id,report_year,report_month,numerator,denominator,readmission_rate_pct,performance_status,kpi_name,facility_name,region
NH-001,2025,4,5,30,16.67,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2025,5,9,30,30.0,ALERT,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2025,6,6,27,22.22,ALERT,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2025,7,7,28,25.0,ALERT,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2025,8,5,30,16.67,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2025,9,7,29,24.14,ALERT,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2025,10,7,29,24.14,ALERT,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2025,11,5,29,17.24,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2025,12,7,30,23.33,ALERT,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2026,1,4,29,13.79,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2026,2,4,28,14.29,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2026,3,4,30,13.33,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2026,4,1,30,3.33,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-002,2025,4,10,40,25.0,ALERT,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2025,5,6,40,15.0,ON TARGET,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2025,6,8,41,19.51,WARNING,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2025,7,8,39,20.51,WARNING,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2025,8,5,42,11.9,ON TARGET,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2025,9,6,39,15.38,ON TARGET,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2025,10,4,42,9.52,ON TARGET,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2025,11,4,41,9.76,ON TARGET,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2025,12,4,40,10.0,ON TARGET,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2026,1,8,42,19.05,WARNING,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2026,2,8,39,20.51,WARNING,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2026,3,8,42,19.05,WARNING,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2026,4,8,40,20.0,WARNING,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-003,2025,4,4,23,17.39,ON TARGET,30-Day Readmission Rate,Schenectady Care Center 1,Capital Region
NH-003,2025,5,3,21,14.29,ON TARGET,30-Day Readmission Rate,Schenectady Care Center 1,Capital Region
NH-003,2025,6,5,23,21.74,WARNING,30-Day Readmission Rate,Schenectady Care Center 1,Capital Region
NH-003,2025,7,3,23,13.04,ON TARGET,30-Day Readmission Rate,Schenectady Care Center 1,Capital Region
NH-003,2025,8,2,23,8.7,ON TARGET,30-Day Readmission Rate,Schenectady Care Center 1,Capital Region
NH-003,2025,9,2,23,8.7,ON TARGET,30-Day Readmission Rate,Schenectady Care Center 1,Capital Region
NH-003,2025,10,3,24,12.5,ON TARGET,30-Day Readmission Rate,Schenectady Care Center 1,Capital Region
NH-003,2025,11,2,23,8.7,ON TARGET,30-Day Readmission Rate,Schenectady Care Center 1,Capital Region
NH-003,2025,12,7,24,29.17,ALERT,30-Day Readmission Rate,Schenectady Care Center 1,Capital Region
NH-003,2026,1,6,23,26.09,ALERT,30-Day Readmission Rate,Schenectady Care Center 1,Capital Region
NH-003,2026,2,2,24,8.33,ON TARGET,30-Day Readmission Rate,Schenectady Care Center 1,Capital Region
NH-003,2026,3,10,24,41.67,ALERT,30-Day Readmission Rate,Schenectady Care Center 1,Capital Region
NH-003,2026,4,6,24,25.0,ALERT,30-Day Readmission Rate,Schenectady Care Center 1,Capital Region
NH-004,2025,4,10,57,17.54,ON TARGET,30-Day Readmission Rate,Manhattan Care Center 1,NYC Metro
NH-004,2025,5,5,57,8.77,ON TARGET,30-Day Readmission Rate,Manhattan Care Center 1,NYC Metro
NH-004,2025,6,11,54,20.37,WARNING,30-Day Readmission Rate,Manhattan Care Center 1,NYC Metro
NH-004,2025,7,11,53,20.75,WARNING,30-Day Readmission Rate,Manhattan Care Center 1,NYC Metro
NH-004,2025,8,10,57,17.54,ON TARGET,30-Day Readmission Rate,Manhattan Care Center 1,NYC Metro
NH-004,2025,9,7,56,12.5,ON TARGET,30-Day Readmission Rate,Manhattan Care Center 1,NYC Metro
NH-004,2025,10,8,57,14.04,ON TARGET,30-Day Readmission Rate,Manhattan Care Center 1,NYC Metro
NH-004,2025,11,11,57,19.3,WARNING,30-Day Readmission Rate,Manhattan Care Center 1,NYC Metro
NH-004,2025,12,9,56,16.07,ON TARGET,30-Day Readmission Rate,Manhattan Care Center 1,NYC Metro
NH-004,2026,1,14,57,24.56,ALERT,30-Day Readmission Rate,Manhattan Care Center 1,NYC Metro
NH-004,2026,2,11,56,19.64,WARNING,30-Day Readmission Rate,Manhattan Care Center 1,NYC Metro
NH-004,2026,3,6,57,10.53,ON TARGET,30-Day Readmission Rate,Manhattan Care Center 1,NYC Metro
NH-004,2026,4,9,58,15.52,ON TARGET,30-Day Readmission Rate,Manhattan Care Center 1,NYC Metro
NH-005,2025,4,4,25,16.0,ON TARGET,30-Day Readmission Rate,Islip Care Center 1,Long Island
NH-005,2025,5,3,25,12.0,ON TARGET,30-Day Readmission Rate,Islip Care Center 1,Long Island
NH-005,2025,6,1,26,3.85,ON TARGET,30-Day Readmission Rate,Islip Care Center 1,Long Island
NH-005,2025,7,1,26,3.85,ON TARGET,30-Day Readmission Rate,Islip Care Center 1,Long Island
NH-005,2025,8,4,24,16.67,ON TARGET,30-Day Readmission Rate,Islip Care Center 1,Long Island
NH-005,2025,9,4,25,16.0,ON TARGET,30-Day Readmission Rate,Islip Care Center 1,Long Island
NH-005,2025,10,4,25,16.0,ON TARGET,30-Day Readmission Rate,Islip Care Center 1,Long Island
NH-005,2025,11,1,24,4.17,ON TARGET,30-Day Readmission Rate,Islip Care Center 1,Long Island
NH-005,2025,12,3,25,12.0,ON TARGET,30-Day Readmission Rate,Islip Care Center 1,Long Island
NH-005,2026,1,1,25,4.0,ON TARGET,30-Day Readmission Rate,Islip Care Center 1,Long Island
NH-005,2026,2,3,25,12.0,ON TARGET,30-Day Readmission Rate,Islip Care Center 1,Long Island
NH-005,2026,3,1,26,3.85,ON TARGET,30-Day Readmission Rate,Islip Care Center 1,Long Island
NH-005,2026,4,4,25,16.0,ON TARGET,30-Day Readmission Rate,Islip Care Center 1,Long Island
NH-006,2025,4,4,28,14.29,ON TARGET,30-Day Readmission Rate,Watertown Care Center 1,North Country
NH-006,2025,5,5,28,17.86,ON TARGET,30-Day Readmission Rate,Watertown Care Center 1,North Country
NH-006,2025,6,2,27,7.41,ON TARGET,30-Day Readmission Rate,Watertown Care Center 1,North Country
