facility_id,total_records,passed_records,completeness_pct,validity_pct,timeliness_pct,consistency_pct,uniqueness_pct,overall_pass_pct,flag_rate_pct,dq_status,facility_name,region
NH-001,390,379,99.5,99.0,100.0,99.2,100.0,97.2,2.8,PASS,Buffalo Care Center 1,Western NY
NH-002,546,527,99.5,98.7,100.0,98.7,100.0,96.5,3.5,PASS,Utica Care Center 1,Central NY
NH-003,312,302,99.4,99.4,100.0,98.7,100.0,96.8,3.2,PASS,Schenectady Care Center 1,Capital Region
NH-004,754,732,99.1,99.2,100.0,98.4,100.0,97.1,2.9,PASS,Manhattan Care Center 1,NYC Metro
NH-005,338,326,99.4,98.5,100.0,98.2,100.0,96.4,3.6,PASS,Islip Care Center 1,Long Island
NH-006,377,366,100.0,98.9,100.0,98.7,100.0,97.1,2.9,PASS,Watertown Care Center 1,North Country
NH-007,689,666,99.0,98.8,100.0,98.0,100.0,96.7,3.3,PASS,Niagara Falls Care Center 2,Western NY
NH-008,416,403,99.5,99.3,100.0,98.1,100.0,96.9,3.1,PASS,Rome Care Center 2,Central NY
NH-009,520,506,99.2,99.4,100.0,98.8,100.0,97.3,2.7,PASS,Saratoga Springs Care Center 2,Capital Region
NH-010,494,480,99.2,98.8,100.0,98.6,100.0,97.2,2.8,PASS,Staten Island Care Center 2,NYC Metro
NH-011,598,579,98.8,99.2,100.0,98.2,100.0,96.8,3.2,PASS,Hempstead Care Center 2,Long Island
NH-012,702,676,99.3,98.3,100.0,98.6,100.0,96.3,3.7,PASS,Plattsburgh Care Center 2,North Country
NH-013,754,731,99.1,98.3,100.0,98.9,100.0,96.9,3.1,PASS,Lockport Care Center 3,Western NY
NH-014,533,522,99.2,99.4,100.0,99.1,100.0,97.9,2.1,PASS,Auburn Care Center 3,Central NY
NH-015,624,609,99.2,99.4,100.0,99.0,100.0,97.6,2.4,PASS,Glens Falls Care Center 3,Capital Region
NH-016,403,397,99.8,99.5,100.0,99.3,100.0,98.5,1.5,PASS,Bronx Care Center 3,NYC Metro
