facility_id,facility_name,region,readmission_rate_pct,readmit_status,turnover_rate_pct,turnover_status,timeliness_rate_pct,complaint_status,licensed_beds,facility_type,ownership,composite_risk_score,overall_status
NH-001,Buffalo Care Center 1,Western NY,10.0,ON TARGET,15.1,ON TARGET,,,158,Skilled Nursing Facility,Not-for-profit,26.2,ON TARGET
NH-002,Utica Care Center 1,Central NY,14.0,ON TARGET,3.6,ON TARGET,,,122,CCRC,Not-for-profit,25.7,ON TARGET
NH-003,Schenectady Care Center 1,Capital Region,6.67,ON TARGET,6.2,ON TARGET,,,178,CCRC,For-profit,16.6,ON TARGET
NH-004,Manhattan Care Center 1,NYC Metro,8.57,ON TARGET,8.1,ON TARGET,,,100,CCRC,Not-for-profit,20.4,ON TARGET
NH-005,Islip Care Center 1,Long Island,18.18,WARNING,16.7,ON TARGET,,,173,Nursing Home,Government,38.7,WARNING
NH-006,Watertown Care Center 1,North Country,21.05,WARNING,13.8,ON TARGET,,,112,Skilled Nursing Facility,For-profit,41.3,WARNING
NH-007,Niagara Falls Care Center 2,Western NY,18.0,ON TARGET,5.3,ON TARGET,,,167,Skilled Nursing Facility,For-profit,32.3,ON TARGET
NH-008,Rome Care Center 2,Central NY,21.74,WARNING,9.2,ON TARGET,,,96,Skilled Nursing Facility,For-profit,39.8,WARNING
NH-009,Saratoga Springs Care Center 2,Capital Region,8.0,ON TARGET,19.1,ON TARGET,,,184,Nursing Home,Not-for-profit,25.5,ON TARGET
NH-010,Staten Island Care Center 2,NYC Metro,9.38,ON TARGET,9.7,ON TARGET,,,171,Nursing Home,Not-for-profit,22.4,ON TARGET
NH-011,Hempstead Care Center 2,Long Island,33.33,ALERT,5.1,ON TARGET,,,80,Nursing Home,For-profit,54.1,ALERT
NH-012,Plattsburgh Care Center 2,North Country,17.86,ON TARGET,4.0,ON TARGET,,,97,Skilled Nursing Facility,For-profit,31.4,ON TARGET
NH-013,Lockport Care Center 3,Western NY,26.09,ALERT,10.7,ON TARGET,,,133,Nursing Home,Not-for-profit,46.8,ALERT
NH-014,Auburn Care Center 3,Central NY,21.74,WARNING,6.4,ON TARGET,,,145,CCRC,For-profit,38.3,WARNING
NH-015,Glens Falls Care Center 3,Capital Region,22.22,ALERT,10.2,ON TARGET,,,88,CCRC,Not-for-profit,41.0,ALERT
NH-016,Bronx Care Center 3,NYC Metro,12.5,ON TARGET,6.7,ON TARGET,,,196,CCRC,Not-for-profit,25.2,ON TARGET
NH-017,Babylon Care Center 3,Long Island,0.0,ON TARGET,5.3,ON TARGET,,,182,Skilled Nursing Facility,For-profit,6.6,ON TARGET
NH-018,Ogdensburg Care Center 3,North Country,14.29,ON TARGET,7.3,ON TARGET,,,138,Skilled Nursing Facility,For-profit,28.1,ON TARGET
NH-019,Batavia Care Center 4,Western NY,28.57,ALERT,4.8,ON TARGET,,,158,Skilled Nursing Facility,For-profit,47.1,ALERT
NH-020,Cortland Care Center 4,Central NY,12.28,ON TARGET,13.7,ON TARGET,,,99,Skilled Nursing Facility,Government,28.7,ON TARGET
NH-021,Albany Care Center 4,Capital Region,9.76,ON TARGET,8.3,ON TARGET,,,79,Nursing Home,For-profit,22.2,ON TARGET
NH-022,Brooklyn Care Center 4,NYC Metro,25.45,ALERT,8.9,ON TARGET,,,188,Nursing Home,Not-for-profit,44.9,ALERT
NH-023,Huntington Care Center 4,Long Island,17.65,ON TARGET,3.8,ON TARGET,,,166,CCRC,For-profit,31.0,ON TARGET
NH-024,Malone Care Center 4,North Country,9.26,ON TARGET,13.3,ON TARGET,,,192,Nursing Home,For-profit,24.1,ON TARGET
NH-025,Olean Care Center 5,Western NY,14.81,ON TARGET,9.9,ON TARGET,,,153,Nursing Home,Not-for-profit,30.2,ON TARGET
NH-026,Syracuse Care Center 5,Central NY,14.0,ON TARGET,11.7,ON TARGET,,,126,Nursing Home,Not-for-profit,30.0,ON TARGET
NH-027,Troy Care Center 5,Capital Region,22.73,ALERT,11.8,ON TARGET,,,187,CCRC,Government,42.6,ALERT
NH-028,Queens Care Center 5,NYC Metro,32.0,ALERT,4.4,ON TARGET,,,81,CCRC,Government,51.8,ALERT
NH-029,Oyster Bay Care Center 5,Long Island,6.67,ON TARGET,5.7,ON TARGET,,,164,Nursing Home,For-profit,16.3,ON TARGET
