facility_id,report_year,report_month,numerator,denominator,readmission_rate_pct,performance_status,kpi_name,facility_name,region
NH-001,2025,4,3,22,13.64,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2025,5,2,22,9.09,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2025,6,4,21,19.05,WARNING,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2025,7,0,23,0.0,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2025,8,3,22,13.64,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2025,9,3,22,13.64,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2025,10,1,22,4.55,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2025,11,4,23,17.39,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2025,12,1,23,4.35,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2026,1,2,22,9.09,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2026,2,2,23,8.7,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2026,3,3,22,13.64,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-001,2026,4,2,20,10.0,ON TARGET,30-Day Readmission Rate,Buffalo Care Center 1,Western NY
NH-002,2025,4,11,50,22.0,WARNING,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2025,5,9,52,17.31,ON TARGET,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2025,6,9,52,17.31,ON TARGET,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2025,7,14,51,27.45,ALERT,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2025,8,9,47,19.15,WARNING,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2025,9,12,51,23.53,ALERT,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2025,10,6,52,11.54,ON TARGET,30-Day Readmission Rate,Utica Care Center 1,Central NY
NH-002,2025,11,8,52,15.38,ON TARGET,30-Day Readmission Rate,Utica Care Center 1,Central NY
