facility_id,report_year,report_quarter,staff_separations,avg_staff_headcount,rn_hours_per_day,turnover_rate_pct,performance_status,kpi_name,facility_name,region
NH-001,2025,1,18,120.0,1.55,15.0,ON TARGET,Staff Turnover Rate,Buffalo Care Center 1,Western NY
NH-001,2025,2,15,105.0,0.93,14.3,ON TARGET,Staff Turnover Rate,Buffalo Care Center 1,Western NY
NH-001,2025,3,20,128.0,1.27,15.6,ON TARGET,Staff Turnover Rate,Buffalo Care Center 1,Western NY
NH-001,2025,4,15,114.0,1.71,13.2,ON TARGET,Staff Turnover Rate,Buffalo Care Center 1,Western NY
NH-001,2026,1,7,79.0,1.54,8.9,ON TARGET,Staff Turnover Rate,Buffalo Care Center 1,Western NY
NH-001,2026,2,13,86.0,0.73,15.1,ON TARGET,Staff Turnover Rate,Buffalo Care Center 1,Western NY
NH-002,2025,1,2,48.0,0.38,4.2,ON TARGET,Staff Turnover Rate,Utica Care Center 1,Central NY
NH-002,2025,2,5,110.0,1.2,4.5,ON TARGET,Staff Turnover Rate,Utica Care Center 1,Central NY
NH-002,2025,3,7,118.0,1.52,5.9,ON TARGET,Staff Turnover Rate,Utica Care Center 1,Central NY
NH-002,2025,4,9,134.0,0.64,6.7,ON TARGET,Staff Turnover Rate,Utica Care Center 1,Central NY
NH-002,2026,1,10,170.0,1.7,5.9,ON TARGET,Staff Turnover Rate,Utica Care Center 1,Central NY
NH-002,2026,2,3,83.0,1.74,3.6,ON TARGET,Staff Turnover Rate,Utica Care Center 1,Central NY
NH-003,2025,1,3,68.0,0.98,4.4,ON TARGET,Staff Turnover Rate,Schenectady Care Center 1,Capital Region
NH-003,2025,2,1,45.0,1.49,2.2,ON TARGET,Staff Turnover Rate,Schenectady Care Center 1,Capital Region
NH-003,2025,3,4,76.0,1.39,5.3,ON TARGET,Staff Turnover Rate,Schenectady Care Center 1,Capital Region
NH-003,2025,4,2,53.0,1.05,3.8,ON TARGET,Staff Turnover Rate,Schenectady Care Center 1,Capital Region
NH-003,2026,1,6,142.0,0.44,4.2,ON TARGET,Staff Turnover Rate,Schenectady Care Center 1,Capital Region
NH-003,2026,2,3,48.0,1.23,6.2,ON TARGET,Staff Turnover Rate,Schenectady Care Center 1,Capital Region
NH-004,2025,1,7,95.0,1.48,7.4,ON TARGET,Staff Turnover Rate,Manhattan Care Center 1,NYC Metro
NH-004,2025,2,8,130.0,1.06,6.2,ON TARGET,Staff Turnover Rate,Manhattan Care Center 1,NYC Metro
NH-004,2025,3,3,68.0,1.16,4.4,ON TARGET,Staff Turnover Rate,Manhattan Care Center 1,NYC Metro
NH-004,2025,4,14,162.0,1.04,8.6,ON TARGET,Staff Turnover Rate,Manhattan Care Center 1,NYC Metro
NH-004,2026,1,3,65.0,1.61,4.6,ON TARGET,Staff Turnover Rate,Manhattan Care Center 1,NYC Metro
NH-004,2026,2,11,136.0,0.72,8.1,ON TARGET,Staff Turnover Rate,Manhattan Care Center 1,NYC Metro
NH-005,2025,1,17,108.0,0.85,15.7,ON TARGET,Staff Turnover Rate,Islip Care Center 1,Long Island
NH-005,2025,2,20,124.0,0.56,16.1,ON TARGET,Staff Turnover Rate,Islip Care Center 1,Long Island
NH-005,2025,3,9,46.0,0.98,19.6,ON TARGET,Staff Turnover Rate,Islip Care Center 1,Long Island
NH-005,2025,4,9,49.0,1.27,18.4,ON TARGET,Staff Turnover Rate,Islip Care Center 1,Long Island
NH-005,2026,1,22,147.0,1.06,15.0,ON TARGET,Staff Turnover Rate,Islip Care Center 1,Long Island
NH-005,2026,2,13,78.0,0.5,16.7,ON TARGET,Staff Turnover Rate,Islip Care Center 1,Long Island
NH-006,2025,1,7,76.0,0.91,9.2,ON TARGET,Staff Turnover Rate,Watertown Care Center 1,North Country
NH-006,2025,2,12,101.0,1.22,11.9,ON TARGET,Staff Turnover Rate,Watertown Care Center 1,North Country
NH-006,2025,3,8,82.0,0.51,9.8,ON TARGET,Staff Turnover Rate,Watertown Care Center 1,North Country
NH-006,2025,4,15,135.0,1.74,11.1,ON TARGET,Staff Turnover Rate,Watertown Care Center 1,North Country
NH-006,2026,1,24,144.0,1.69,16.7,ON TARGET,Staff Turnover Rate,Watertown Care Center 1,North Country
NH-006,2026,2,22,160.0,0.8,13.8,ON TARGET,Staff Turnover Rate,Watertown Care Center 1,North Country
NH-007,2025,1,8,144.0,1.71,5.6,ON TARGET,Staff Turnover Rate,Niagara Falls Care Center 2,Western NY
NH-007,2025,2,9,177.0,0.47,5.1,ON TARGET,Staff Turnover Rate,Niagara Falls Care Center 2,Western NY
NH-007,2025,3,7,116.0,0.67,6.0,ON TARGET,Staff Turnover Rate,Niagara Falls Care Center 2,Western NY
NH-007,2025,4,5,77.0,0.85,6.5,ON TARGET,Staff Turnover Rate,Niagara Falls Care Center 2,Western NY
NH-007,2026,1,3,51.0,0.57,5.9,ON TARGET,Staff Turnover Rate,Niagara Falls Care Center 2,Western NY
NH-007,2026,2,4,76.0,1.47,5.3,ON TARGET,Staff Turnover Rate,Niagara Falls Care Center 2,Western NY
NH-008,2025,1,8,95.0,0.48,8.4,ON TARGET,Staff Turnover Rate,Rome Care Center 2,Central NY
NH-008,2025,2,10,72.0,0.82,13.9,ON TARGET,Staff Turnover Rate,Rome Care Center 2,Central NY
NH-008,2025,3,11,133.0,0.76,8.3,ON TARGET,Staff Turnover Rate,Rome Care Center 2,Central NY
